yr,mo,mag
1980,6,0
1980,6,0
1980,6,0
1980,6,1
1980,6,1
1980,6,1
1980,6,1
1980,6,1
1980,6,1
1980,6,1
1980,6,2
1980,6,2
1980,6,4
1980,6,0
1980,6,1
1980,6,1
1980,6,2
1980,6,2
1980,6,2
1980,6,3
1980,6,1
1980,6,2
1980,6,1
1980,6,1
1980,6,0
1980,6,1
1980,6,1
1980,6,1
1980,6,2
1980,6,3
1980,6,3
1980,6,4
1980,6,1
1980,6,2
1980,6,4
1980,6,2
1980,6,3
1980,6,0
1980,6,0
1980,6,0
1980,6,0
1980,6,0
1980,6,0
1980,6,0
1980,6,0
1980,6,0
1980,6,1
1980,6,1
1980,6,1
1980,6,1
1980,6,0
1980,6,0
1980,6,0
1980,6,0
1980,6,0
1980,6,0
1980,6,0
1980,6,0
1980,6,0
1980,6,0
1980,6,0
1980,6,0
1980,6,0
1980,6,0
1980,6,0
1980,6,0
1980,6,0
1980,6,0
1980,6,0
1980,6,0
1980,6,1
1980,6,0
1980,6,1
1980,6,2
1980,6,0
1980,6,0
1980,6,0
1980,6,1
1980,6,1
1980,6,2
1980,6,2
1980,6,3
1980,6,3
1980,6,1
1980,6,1
1980,6,0
1980,6,1
1980,6,0
1980,6,1
1980,6,1
1980,6,1
1980,6,0
1980,6,0
1980,6,0
1980,6,1
1980,6,2
1980,6,0
1980,6,2
1980,6,1
1980,6,1
1980,6,1
1980,6,1
1980,6,1
1980,6,1
1980,6,2
1980,6,2
1980,6,1
1980,6,1
1980,6,1
1980,6,1
1980,6,1
1980,6,1
1980,6,1
1980,6,2
1980,6,3
1980,6,0
1980,6,0
1980,6,1
1980,6,1
1980,6,2
1980,6,1
1980,6,1
1980,6,0
1980,6,2
1980,6,1
1980,6,1
1980,6,1
1980,6,0
1980,6,0
1980,6,0
1980,6,0
1980,6,1
1980,6,1
1980,6,0
1980,6,1
1980,6,0
1980,6,1
1980,6,1
1980,6,1
1980,6,1
1980,6,0
1980,6,0
1980,6,1
1980,6,1
1980,6,0
1980,6,1
1980,6,1
1980,6,0
1980,6,1
1980,6,0
1980,6,0
1980,6,0
1980,6,1
1980,6,0
1980,6,0
1980,6,2
1980,6,2
1980,6,1
1980,6,2
1980,6,1
1980,6,0
1980,6,1
1980,6,0
1980,6,0
1980,6,1
1980,6,1
1980,6,1
1980,6,1
1980,6,0
1980,6,1
1980,6,2
1980,6,2
1980,6,0
1980,6,0
1980,6,1
1980,6,1
1980,6,1
1980,6,1
1980,6,1
1980,6,1
1980,6,1
1980,6,2
1980,6,1
1980,6,1
1980,6,1
1980,6,1
1980,6,1
1980,6,1
1980,6,0
1980,6,1
1980,6,0
1980,6,1
1980,6,2
1980,6,0
1980,6,1
1980,6,1
1980,6,1
1980,6,1
1980,6,1
1980,6,1
1980,6,0
1980,6,0
1980,6,1
1980,6,0
1980,6,1
1980,6,0
1980,6,1
1980,6,1
1980,6,1
1980,6,1
1980,6,2
1980,6,2
1980,6,1
1980,6,2
1980,6,1
1980,6,1
1980,7,1
1980,7,1
1980,7,1
1980,7,1
1980,7,0
1980,7,0
1980,7,1
1980,7,0
1980,7,0
1980,7,0
1980,7,1
1980,7,1
1980,7,1
1980,7,2
1980,7,1
1980,7,0
1980,7,1
1980,7,1
1980,7,2
1980,7,2
1980,7,1
1980,7,1
1980,7,1
1980,7,2
1980,7,0
1980,7,0
1980,7,1
1980,7,1
1980,7,0
1980,7,4
1980,7,0
1980,7,1
1980,7,2
1980,7,1
1980,7,1
1980,7,1
1980,7,2
1980,7,2
1980,7,1
1980,7,1
1980,7,0
1980,7,3
1980,7,2
1980,7,0
1980,7,2
1980,7,1
1980,7,1
1980,7,1
1980,7,1
1980,7,0
1980,7,1
1980,7,1
1980,7,0
1980,7,0
1980,7,0
1980,7,0
1980,7,1
1980,7,1
1980,7,1
1980,7,1
1980,7,2
1980,7,2
1980,7,2
1980,7,3
1980,7,2
1980,7,2
1980,7,1
1980,7,0
1980,7,0
1980,7,0
1980,7,1
1980,7,1
1980,7,2
1980,7,2
1980,7,1
1980,7,2
1980,7,1
1980,7,1
1980,7,0
1980,7,0
1980,7,0
1980,7,1
1980,7,1
1980,7,1
1980,7,1
1980,7,1
1980,7,0
1980,7,0
1980,7,0
1980,7,0
1980,7,2
1980,7,0
1980,7,1
1980,7,1
1980,7,1
1980,8,0
1980,8,2
1980,8,1
1980,8,1
1980,8,1
1980,8,1
1980,8,1
1980,8,1
1980,8,2
1980,8,0
1980,8,1
1980,8,1
1980,8,1
1980,8,0
1980,8,0
1980,8,0
1980,8,1
1980,8,1
1980,8,0
1980,8,0
1980,8,0
1980,8,0
1980,8,1
1980,8,1
1980,8,2
1980,8,2
1980,8,2
1980,8,1
1980,8,2
1980,8,0
1980,8,0
1980,8,0
1980,8,0
1980,8,0
1980,8,0
1980,8,1
1980,8,1
1980,8,1
1980,8,1
1980,8,1
1980,8,1
1980,8,1
1980,8,2
1980,8,2
1980,8,2
1980,8,2
1980,8,2
1980,8,2
1980,8,0
1980,8,1
1980,8,1
1980,8,1
1980,8,1
1980,8,2
1980,8,1
1980,8,1
1980,8,2
1980,8,1
1980,8,1
1980,8,0
1980,8,0
1980,8,1
1980,8,1
1980,8,1
1980,8,1
1980,8,2
1980,8,0
1980,8,1
1980,8,1
1980,8,1
1980,8,1
1980,8,0
1980,8,1
1980,9,2
1980,9,1
1980,9,2
1980,9,0
1980,9,0
1980,9,0
1980,9,0
1980,9,0
1980,9,2
1980,9,3
1980,9,2
1980,9,1
1980,9,0
1980,9,0
1980,9,1
1980,9,2
1980,9,0
1980,9,0
1980,9,1
1980,9,0
1980,9,1
1980,9,1
1980,9,1
1980,9,0
1980,9,0
1980,9,0
1980,9,2
1980,9,1
1980,9,2
1980,9,2
1980,9,3
1980,9,1
1980,9,0
1980,9,1
1980,9,0
1980,9,0
1980,9,0
1980,10,1
1980,10,2
1980,10,0
1980,10,0
1980,10,3
1980,10,0
1980,10,0
1980,10,1
1980,10,2
1980,10,1
1980,10,3
1980,10,1
1980,10,1
1980,10,1
1980,10,2
1980,10,1
1980,10,2
1980,10,2
1980,10,2
1980,10,2
1980,10,2
1980,10,2
1980,10,2
1980,10,1
1980,10,2
1980,10,2
1980,10,2
1980,10,2
1980,10,2
1980,10,2
1980,10,1
1980,10,1
1980,10,1
1980,10,1
1980,10,2
1980,10,1
1980,10,1
1980,10,3
1980,10,1
1980,10,2
1980,10,2
1980,10,1
1980,10,1
1980,11,0
1980,11,0
1980,11,0
1980,12,0
1981,1,0
1981,1,0
1981,2,1
1981,2,1
1981,2,1
1981,2,1
1981,2,1
1981,2,1
1981,2,2
1981,2,1
1981,2,2
1981,2,1
1981,2,2
1981,2,2
1981,2,2
1981,2,1
1981,2,2
1981,2,2
1981,2,2
1981,2,2
1981,2,2
1981,2,1
1981,2,1
1981,2,1
1981,2,1
1981,2,1
1981,2,1
1981,3,0
1981,3,0
1981,3,0
1981,3,0
1981,3,1
1981,3,0
1981,3,1
1981,3,2
1981,3,1
1981,3,1
1981,3,1
1981,3,2
1981,3,1
1981,3,1
1981,3,1
1981,3,1
1981,3,0
1981,3,2
1981,3,3
1981,3,1
1981,3,0
1981,3,2
1981,3,1
1981,3,1
1981,3,1
1981,3,4
1981,3,1
1981,3,1
1981,3,1
1981,3,1
1981,3,2
1981,3,2
1981,3,2
1981,4,3
1981,4,1
1981,4,1
1981,4,1
1981,4,0
1981,4,0
1981,4,0
1981,4,1
1981,4,4
1981,4,1
1981,4,2
1981,4,0
1981,4,0
1981,4,2
1981,4,1
1981,4,1
1981,4,1
1981,4,1
1981,4,2
1981,4,4
1981,4,0
1981,4,0
1981,4,2
1981,4,2
1981,4,2
1981,4,0
1981,4,1
1981,4,0
1981,4,0
1981,4,1
1981,4,1
1981,4,1
1981,4,2
1981,4,1
1981,4,0
1981,4,0
1981,4,0
1981,4,0
1981,4,1
1981,4,1
1981,4,1
1981,4,1
1981,4,1
1981,4,0
1981,4,0
1981,4,1
1981,4,1
1981,4,2
1981,4,3
1981,4,3
1981,4,3
1981,4,3
1981,4,1
1981,4,1
1981,4,1
1981,4,0
1981,4,0
1981,4,0
1981,4,1
1981,4,0
1981,4,1
1981,4,1
1981,4,0
1981,4,0
1981,4,1
1981,4,1
1981,4,3
1981,4,4
1981,4,0
1981,4,0
1981,4,1
1981,4,1
1981,4,2
1981,4,1
1981,4,0
1981,4,2
1981,4,0
1981,4,0
1981,4,1
1981,4,2
1981,4,2
1981,4,0
1981,4,1
1981,4,2
1981,5,1
1981,5,1
1981,5,1
1981,5,2
1981,5,0
1981,5,0
1981,5,0
1981,5,1
1981,5,0
1981,5,1
1981,5,0
1981,5,0
1981,5,0
1981,5,0
1981,5,0
1981,5,1
1981,5,2
1981,5,2
1981,5,2
1981,5,2
1981,5,0
1981,5,0
1981,5,0
1981,5,1
1981,5,2
1981,5,1
1981,5,1
1981,5,0
1981,5,1
1981,5,1
1981,5,1
1981,5,1
1981,5,1
1981,5,1
1981,5,2
1981,5,2
1981,5,2
1981,5,2
1981,5,2
1981,5,2
1981,5,2
1981,5,3
1981,5,3
1981,5,1
1981,5,1
1981,5,0
1981,5,1
1981,5,2
1981,5,0
1981,5,1
1981,5,2
1981,5,1
1981,5,1
1981,5,1
1981,5,2
1981,5,1
1981,5,1
1981,5,2
1981,5,2
1981,5,2
1981,5,4
1981,5,2
1981,5,0
1981,5,1
1981,5,1
1981,5,1
1981,5,1
1981,5,2
1981,5,1
1981,5,2
1981,5,1
1981,5,1
1981,5,1
1981,5,1
1981,5,1
1981,5,0
1981,5,1
1981,5,1
1981,5,2
1981,5,1
1981,5,0
1981,5,1
1981,5,1
1981,5,2
1981,5,0
1981,5,0
1981,5,1
1981,5,1
1981,5,1
1981,5,1
1981,5,1
1981,5,2
1981,5,2
1981,5,2
1981,5,2
1981,5,3
1981,5,3
1981,5,4
1981,5,2
1981,5,1
1981,5,0
1981,5,1
1981,5,2
1981,5,0
1981,5,2
1981,5,1
1981,5,2
1981,5,2
1981,5,1
1981,5,1
1981,5,1
1981,5,0
1981,5,0
1981,5,0
1981,5,1
1981,5,1
1981,5,1
1981,5,1
1981,5,2
1981,5,2
1981,5,2
1981,5,2
1981,5,2
1981,5,3
1981,5,4
1981,5,0
1981,5,0
1981,5,0
1981,5,0
1981,5,0
1981,5,0
1981,5,0
1981,5,1
1981,5,2
1981,5,2
1981,5,0
1981,5,0
1981,5,1
1981,5,1
1981,5,2
1981,5,0
1981,5,0
1981,5,0
1981,5,1
1981,5,1
1981,5,1
1981,5,1
1981,5,1
1981,5,1
1981,5,1
1981,5,2
1981,5,2
1981,5,2
1981,5,3
1981,5,2
1981,5,0
1981,5,0
1981,5,0
1981,5,0
1981,5,0
1981,5,0
1981,5,0
1981,5,1
1981,5,2
1981,5,0
1981,5,1
1981,5,0
1981,5,0
1981,5,0
1981,5,0
1981,5,0
1981,5,0
1981,5,0
1981,5,2
1981,5,0
1981,5,1
1981,5,0
1981,5,2
1981,5,1
1981,5,1
1981,5,0
1981,5,0
1981,5,1
1981,5,0
1981,5,1
1981,5,1
1981,5,1
1981,6,0
1981,6,0
1981,6,0
1981,6,0
1981,6,0
1981,6,2
1981,6,1
1981,6,0
1981,6,0
1981,6,0
1981,6,0
1981,6,0
1981,6,1
1981,6,1
1981,6,1
1981,6,1
1981,6,1
1981,6,1
1981,6,2
1981,6,2
1981,6,0
1981,6,2
1981,6,1
1981,6,0
1981,6,0
1981,6,0
1981,6,0
1981,6,1
1981,6,2
1981,6,0
1981,6,0
1981,6,0
1981,6,1
1981,6,2
1981,6,2
1981,6,2
1981,6,3
1981,6,0
1981,6,1
1981,6,2
1981,6,2
1981,6,1
1981,6,1
1981,6,1
1981,6,1
1981,6,1
1981,6,2
1981,6,0
1981,6,0
1981,6,0
1981,6,1
1981,6,0
1981,6,1
1981,6,1
1981,6,0
1981,6,0
1981,6,0
1981,6,1
1981,6,1
1981,6,1
1981,6,1
1981,6,0
1981,6,1
1981,6,1
1981,6,1
1981,6,1
1981,6,2
1981,6,2
1981,6,2
1981,6,2
1981,6,0
1981,6,0
1981,6,0
1981,6,2
1981,6,0
1981,6,1
1981,6,0
1981,6,0
1981,6,2
1981,6,0
1981,6,1
1981,6,1
1981,6,1
1981,6,1
1981,6,2
1981,6,0
1981,6,1
1981,6,1
1981,6,2
1981,6,0
1981,6,1
1981,6,1
1981,6,0
1981,6,0
1981,6,1
1981,6,1
1981,6,2
1981,6,2
1981,6,3
1981,6,1
1981,6,1
1981,6,1
1981,6,1
1981,6,2
1981,6,0
1981,6,2
1981,6,2
1981,6,2
1981,6,1
1981,6,1
1981,6,2
1981,6,2
1981,6,3
1981,6,0
1981,6,2
1981,6,1
1981,6,1
1981,6,2
1981,6,1
1981,6,1
1981,6,0
1981,6,1
1981,6,2
1981,6,2
1981,6,1
1981,6,1
1981,6,1
1981,6,0
1981,6,3
1981,6,0
1981,6,0
1981,6,0
1981,6,0
1981,6,0
1981,6,1
1981,6,1
1981,6,0
1981,6,2
1981,6,1
1981,6,0
1981,6,0
1981,6,0
1981,6,0
1981,6,1
1981,6,0
1981,6,0
1981,6,0
1981,6,1
1981,6,1
1981,6,3
1981,6,0
1981,6,0
1981,6,0
1981,6,0
1981,6,1
1981,6,1
1981,6,2
1981,6,0
1981,6,0
1981,6,0
1981,6,0
1981,6,0
1981,6,0
1981,6,2
1981,6,1
1981,6,1
1981,6,0
1981,6,0
1981,6,0
1981,6,1
1981,6,1
1981,6,1
1981,6,1
1981,6,1
1981,6,1
1981,6,0
1981,6,2
1981,6,2
1981,6,3
1981,6,1
1981,6,2
1981,6,1
1981,6,1
1981,6,1
1981,6,1
1981,6,1
1981,6,0
1981,6,0
1981,6,0
1981,6,0
1981,6,0
1981,6,1
1981,6,2
1981,6,2
1981,6,2
1981,6,1
1981,6,0
1981,6,0
1981,6,0
1981,6,1
1981,6,1
1981,6,0
1981,6,0
1981,6,1
1981,6,0
1981,6,0
1981,6,0
1981,6,0
1981,6,0
1981,6,1
1981,6,1
1981,6,0
1981,6,0
1981,6,0
1981,6,0
1981,6,0
1981,6,1
1981,6,0
1981,6,1
1981,6,0
1981,6,0
1981,6,0
1981,6,1
1981,7,0
1981,7,0
1981,7,0
1981,7,1
1981,7,1
1981,7,0
1981,7,0
1981,7,1
1981,7,0
1981,7,0
1981,7,0
1981,7,1
